web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,Brand,Price,Adress,image_link-src
"1732654904-20","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location de voitures toutes marques","https://www.dakarvente.com/annonce-5637-l-occasion-de-voiture-tout-marque.html","Location de voitures toutes marques","","Grand Dakar","media/annonces/pics/2c6d62fc48f2fdff40d293c6a404d6a9.jpg"
"1732654907-21","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","location de voiture","https://www.dakarvente.com/annonce-5671-location-de-voiture.html","location de voiture","","Point E","media/annonces/pics/03873d968751937dd0b6f20804410f2b.jpg"
"1732654912-22","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","LOCATION VOITURE  DIESEL LUXUEUSE ET CLIMATISÉE","https://www.dakarvente.com/annonce-5907-location-voiture-diesel-luxueuse-et-climatise.html","LOCATION VOITURE  DIESEL LUXUEUSE ET CLIMATISÉE","35.000  FCFA","Dakar","media/annonces/pics/ced103919cdfd3208897cea2c04ec58c.jpeg"
"1732654916-23","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","A louer Chevrolet Cruze","https://www.dakarvente.com/annonce-7020-a-louer-chevrolet-cruze.html","A louer Chevrolet Cruze","25.000  FCFA","Dakar","media/annonces/pics/f7d843ac78eb236c45858001e1b214aa.jpg"
"1732654920-24","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location Toyota Corolla 2006","https://www.dakarvente.com/annonce-8161-location-toyota-corolla-2006.html","Location Toyota Corolla 2006","1  FCFA","Point E","media/annonces/pics/a4e7295ada250b98cdb000398584f8b2.jpg"
"1732654925-25","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","LOCATION DE VEHICULES","https://www.dakarvente.com/annonce-8296-location-de-vehicules.html","LOCATION DE VEHICULES","25.000  FCFA","Golf","media/annonces/pics/6be3ce251106e60820a84b53b8124812.jpg"
"1732654936-26","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voitures automatiques","https://www.dakarvente.com/annonce-8866-location-de-voitures-automatiques.html","Location de voitures automatiques","30.000  FCFA","Biscuiterie","media/annonces/pics/d3ce551e6901cfa93733794e172d7417.jpeg"
"1732654940-27","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location Citroën C4 avec chauffeur","https://www.dakarvente.com/annonce-9244-location-c4-avec-chauffeur.html","Location  Citroën C4 avec chauffeurLogements de qualité à louer","20.000  FCFA","Dakar","media/annonces/pics/6efef7fd13a7b03f1f2a55de2c46b5ff.jpeg"
"1732654944-28","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voiture","https://www.dakarvente.com/annonce-9337-location-de-voiture.html","Location de voiture","1  FCFA","Point E","media/annonces/pics/2693d95e11ea50b877350d5ab60f3554.jpg"
"1732654948-29","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location PICK UP L200","https://www.dakarvente.com/annonce-9392-location-pick-up-l200.html","Location PICK UP L200Logements de qualité à louer","30.000  FCFA","Dakar","media/annonces/pics/d3870e7cd63147e18b573d867888f32a.jpg"
